"COUNTRY,""Country"",""SERIES"",""Series"",""TIME"",""Time"",""Unit Code"",""Unit"",""PowerCode Code"",""PowerCode"",""Reference Period Code"",""Reference Period"",""Value"",""Flag Codes"",""Flags"""
"FRA,""France"",""CPNCU"",""Current prices in NCU"",""2019"",""2019"",""EUR"",""Euro"",""0"",""Units"",,,39117.2355463615,,"
"FRA,""France"",""CPNCU"",""Current prices in NCU"",""2020"",""2020"",""EUR"",""Euro"",""0"",""Units"",,,38077.8014997926,,"
"DEU,""Germany"",""CPNCU"",""Current prices in NCU"",""2005"",""2005"",""EUR"",""Euro"",""0"",""Units"",,,30683.9352392633,,"
"DEU,""Germany"",""CPNCU"",""Current prices in NCU"",""2006"",""2006"",""EUR"",""Euro"",""0"",""Units"",,,31074.9886823368,,"
"DEU,""Germany"",""CPNCU"",""Current prices in NCU"",""2007"",""2007"",""EUR"",""Euro"",""0"",""Units"",,,31567.3601183665,,"
"DEU,""Germany"",""CPNCU"",""Current prices in NCU"",""2008"",""2008"",""EUR"",""Euro"",""0"",""Units"",,,32336.909312039,,"
"DEU,""Germany"",""CPNCU"",""Current prices in NCU"",""2009"",""2009"",""EUR"",""Euro"",""0"",""Units"",,,32366.1191267014,,"
"DEU,""Germany"",""CPNCU"",""Current prices in NCU"",""2010"",""2010"",""EUR"",""Euro"",""0"",""Units"",,,33190.7013678574,,"
"DEU,""Germany"",""CPNCU"",""Current prices in NCU"",""2011"",""2011"",""EUR"",""Euro"",""0"",""Units"",,,34475.8761804334,,"
"DEU,""Germany"",""CPNCU"",""Current prices in NCU"",""2012"",""2012"",""EUR"",""Euro"",""0"",""Units"",,,35429.3916349528,,"
"DEU,""Germany"",""CPNCU"",""Current prices in NCU"",""2013"",""2013"",""EUR"",""Euro"",""0"",""Units"",,,36272.2849655765,,"
"DEU,""Germany"",""CPNCU"",""Current prices in NCU"",""2014"",""2014"",""EUR"",""Euro"",""0"",""Units"",,,37227.0247149908,,"
"DEU,""Germany"",""CPNCU"",""Current prices in NCU"",""2015"",""2015"",""EUR"",""Euro"",""0"",""Units"",,,38308.4009836309,,"
"DEU,""Germany"",""CPNCU"",""Current prices in NCU"",""2016"",""2016"",""EUR"",""Euro"",""0"",""Units"",,,39128.3466344212,,"
"DEU,""Germany"",""CPNCU"",""Current prices in NCU"",""2017"",""2017"",""EUR"",""Euro"",""0"",""Units"",,,40140.5166581804,,"
"DEU,""Germany"",""CPNCU"",""Current prices in NCU"",""2018"",""2018"",""EUR"",""Euro"",""0"",""Units"",,,41320.4259995521,,"
"DEU,""Germany"",""CPNCU"",""Current prices in NCU"",""2019"",""2019"",""EUR"",""Euro"",""0"",""Units"",,,42523.8543216387,,"
"DEU,""Germany"",""CPNCU"",""Current prices in NCU"",""2020"",""2020"",""EUR"",""Euro"",""0"",""Units"",,,42593.1263713466,,"
"GRC,""Greece"",""CPNCU"",""Current prices in NCU"",""2005"",""2005"",""EUR"",""Euro"",""0"",""Units"",,,18804.9006270765,,"
"GRC,""Greece"",""CPNCU"",""Current prices in NCU"",""2006"",""2006"",""EUR"",""Euro"",""0"",""Units"",,,19644.2966897469,,"
"GRC,""Greece"",""CPNCU"",""Current prices in NCU"",""2007"",""2007"",""EUR"",""Euro"",""0"",""Units"",,,20363.9321376911,,"
"GRC,""Greece"",""CPNCU"",""Current prices in NCU"",""2008"",""2008"",""EUR"",""Euro"",""0"",""Units"",,,20916.6726654773,,"
"GRC,""Greece"",""CPNCU"",""Current prices in NCU"",""2009"",""2009"",""EUR"",""Euro"",""0"",""Units"",,,22113.1944101163,,"
"GRC,""Greece"",""CPNCU"",""Current prices in NCU"",""2010"",""2010"",""EUR"",""Euro"",""0"",""Units"",,,21026.6146062122,,"
"GRC,""Greece"",""CPNCU"",""Current prices in NCU"",""2011"",""2011"",""EUR"",""Euro"",""0"",""Units"",,,20275.7700546452,,"
"GRC,""Greece"",""CPNCU"",""Current prices in NCU"",""2012"",""2012"",""EUR"",""Euro"",""0"",""Units"",,,19277.9729129147,,"
"GRC,""Greece"",""CPNCU"",""Current prices in NCU"",""2013"",""2013"",""EUR"",""Euro"",""0"",""Units"",,,17707.6509316597,,"
"GRC,""Greece"",""CPNCU"",""Current prices in NCU"",""2014"",""2014"",""EUR"",""Euro"",""0"",""Units"",,,17214.1258301278,,"
"GRC,""Greece"",""CPNCU"",""Current prices in NCU"",""2015"",""2015"",""EUR"",""Euro"",""0"",""Units"",,,17164.1781706452,,"
"GRC,""Greece"",""CPNCU"",""Current prices in NCU"",""2016"",""2016"",""EUR"",""Euro"",""0"",""Units"",,,16619.024523483,,"
"GRC,""Greece"",""CPNCU"",""Current prices in NCU"",""2017"",""2017"",""EUR"",""Euro"",""0"",""Units"",,,16787.0814793777,,"
"GRC,""Greece"",""CPNCU"",""Current prices in NCU"",""2018"",""2018"",""EUR"",""Euro"",""0"",""Units"",,,16951.4944399854,,"
"GRC,""Greece"",""CPNCU"",""Current prices in NCU"",""2019"",""2019"",""EUR"",""Euro"",""0"",""Units"",,,17195.4503898273,,"
"GRC,""Greece"",""CPNCU"",""Current prices in NCU"",""2020"",""2020"",""EUR"",""Euro"",""0"",""Units"",,,17098.5787972693,,"
"HUN,""Hungary"",""CPNCU"",""Current prices in NCU"",""2005"",""2005"",""HUF"",""Forint"",""0"",""Units"",,,2216516.18312003,,"
"HUN,""Hungary"",""CPNCU"",""Current prices in NCU"",""2006"",""2006"",""HUF"",""Forint"",""0"",""Units"",,,2333791.74538027,,"
"HUN,""Hungary"",""CPNCU"",""Current prices in NCU"",""2007"",""2007"",""HUF"",""Forint"",""0"",""Units"",,,2471260.42746379,,"
"HUN,""Hungary"",""CPNCU"",""Current prices in NCU"",""2008"",""2008"",""HUF"",""Forint"",""0"",""Units"",,,2650703.60505791,,"
"HUN,""Hungary"",""CPNCU"",""Current prices in NCU"",""2009"",""2009"",""HUF"",""Forint"",""0"",""Units"",,,2605594.55253398,,"
"HUN,""Hungary"",""CPNCU"",""Current prices in NCU"",""2010"",""2010"",""HUF"",""Forint"",""0"",""Units"",,,2728519.30476441,,"
"HUN,""Hungary"",""CPNCU"",""Current prices in NCU"",""2011"",""2011"",""HUF"",""Forint"",""0"",""Units"",,,2857134.85414481,,"
"HUN,""Hungary"",""CPNCU"",""Current prices in NCU"",""2012"",""2012"",""HUF"",""Forint"",""0"",""Units"",,,2918580.4090094,,"
"HUN,""Hungary"",""CPNCU"",""Current prices in NCU"",""2013"",""2013"",""HUF"",""Forint"",""0"",""Units"",,,2938156.8074089,,"
"HUN,""Hungary"",""CPNCU"",""Current prices in NCU"",""2014"",""2014"",""HUF"",""Forint"",""0"",""Units"",,,2938044.76841534,,"
"HUN,""Hungary"",""CPNCU"",""Current prices in NCU"",""2015"",""2015"",""HUF"",""Forint"",""0"",""Units"",,,2976474.87454314,,"
"HUN,""Hungary"",""CPNCU"",""Current prices in NCU"",""2016"",""2016"",""HUF"",""Forint"",""0"",""Units"",,,3033382.17273007,,"
"HUN,""Hungary"",""CPNCU"",""Current prices in NCU"",""2017"",""2017"",""HUF"",""Forint"",""0"",""Units"",,,3360856.55579299,,"
"HUN,""Hungary"",""CPNCU"",""Current prices in NCU"",""2018"",""2018"",""HUF"",""Forint"",""0"",""Units"",,,3646472.69784845,,"
"HUN,""Hungary"",""CPNCU"",""Current prices in NCU"",""2019"",""2019"",""HUF"",""Forint"",""0"",""Units"",,,3927121.11143547,,"
"HUN,""Hungary"",""CPNCU"",""Current prices in NCU"",""2020"",""2020"",""HUF"",""Forint"",""0"",""Units"",,,4209324.39098576,,"
"IRL,""Ireland"",""CPNCU"",""Current prices in NCU"",""2005"",""2005"",""EUR"",""Euro"",""0"",""Units"",,,38612.4206695811,,"
"IRL,""Ireland"",""CPNCU"",""Current prices in NCU"",""2006"",""2006"",""EUR"",""Euro"",""0"",""Units"",,,40017.0421497687,,"
"IRL,""Ireland"",""CPNCU"",""Current prices in NCU"",""2007"",""2007"",""EUR"",""Euro"",""0"",""Units"",,,42430.9056972465,,"
"IRL,""Ireland"",""CPNCU"",""Current prices in NCU"",""2008"",""2008"",""EUR"",""Euro"",""0"",""Units"",,,44611.0804874864,,"
"IRL,""Ireland"",""CPNCU"",""Current prices in NCU"",""2009"",""2009"",""EUR"",""Euro"",""0"",""Units"",,,44666.0516515164,,"
"IRL,""Ireland"",""CPNCU"",""Current prices in NCU"",""2010"",""2010"",""EUR"",""Euro"",""0"",""Units"",,,44176.6906570605,,"
"IRL,""Ireland"",""CPNCU"",""Current prices in NCU"",""2011"",""2011"",""EUR"",""Euro"",""0"",""Units"",,,44159.3785433979,,"
"IRL,""Ireland"",""CPNCU"",""Current prices in NCU"",""2012"",""2012"",""EUR"",""Euro"",""0"",""Units"",,,44280.4510179912,,"
"IRL,""Ireland"",""CPNCU"",""Current prices in NCU"",""2013"",""2013"",""EUR"",""Euro"",""0"",""Units"",,,43599.0451576298,,"
"IRL,""Ireland"",""CPNCU"",""Current prices in NCU"",""2014"",""2014"",""EUR"",""Euro"",""0"",""Units"",,,43759.6982274094,,"
"IRL,""Ireland"",""CPNCU"",""Current prices in NCU"",""2015"",""2015"",""EUR"",""Euro"",""0"",""Units"",,,44173.3053227506,,"
"IRL,""Ireland"",""CPNCU"",""Current prices in NCU"",""2016"",""2016"",""EUR"",""Euro"",""0"",""Units"",,,44992.3699533484,,"
"IRL,""Ireland"",""CPNCU"",""Current prices in NCU"",""2017"",""2017"",""EUR"",""Euro"",""0"",""Units"",,,45996.7413222913,,"
"IRL,""Ireland"",""CPNCU"",""Current prices in NCU"",""2018"",""2018"",""EUR"",""Euro"",""0"",""Units"",,,47216.7870399235,,"
"IRL,""Ireland"",""CPNCU"",""Current prices in NCU"",""2019"",""2019"",""EUR"",""Euro"",""0"",""Units"",,,49242.9884000959,,"
"IRL,""Ireland"",""CPNCU"",""Current prices in NCU"",""2020"",""2020"",""EUR"",""Euro"",""0"",""Units"",,,49296.4375231437,,"
"ITA,""Italy"",""CPNCU"",""Current prices in NCU"",""2005"",""2005"",""EUR"",""Euro"",""0"",""Units"",,,24889.8810114113,,"
"ITA,""Italy"",""CPNCU"",""Current prices in NCU"",""2006"",""2006"",""EUR"",""Euro"",""0"",""Units"",,,25718.296918593,,"
"ITA,""Italy"",""CPNCU"",""Current prices in NCU"",""2007"",""2007"",""EUR"",""Euro"",""0"",""Units"",,,26283.5074954384,,"
"ITA,""Italy"",""CPNCU"",""Current prices in NCU"",""2008"",""2008"",""EUR"",""Euro"",""0"",""Units"",,,27094.8582208939,,"
"ITA,""Italy"",""CPNCU"",""Current prices in NCU"",""2009"",""2009"",""EUR"",""Euro"",""0"",""Units"",,,27144.9649897802,,"
"ITA,""Italy"",""CPNCU"",""Current prices in NCU"",""2010"",""2010"",""EUR"",""Euro"",""0"",""Units"",,,27810.2724186481,,"
"ITA,""Italy"",""CPNCU"",""Current prices in NCU"",""2011"",""2011"",""EUR"",""Euro"",""0"",""Units"",,,28163.6227706334,,"
"ITA,""Italy"",""CPNCU"",""Current prices in NCU"",""2012"",""2012"",""EUR"",""Euro"",""0"",""Units"",,,27990.91415966,,"
"ITA,""Italy"",""CPNCU"",""Current prices in NCU"",""2013"",""2013"",""EUR"",""Euro"",""0"",""Units"",,,28391.0799368011,,"
"ITA,""Italy"",""CPNCU"",""Current prices in NCU"",""2014"",""2014"",""EUR"",""Euro"",""0"",""Units"",,,28571.0688879265,,"
"ITA,""Italy"",""CPNCU"",""Current prices in NCU"",""2015"",""2015"",""EUR"",""Euro"",""0"",""Units"",,,28867.1313650671,,"
"ITA,""Italy"",""CPNCU"",""Current prices in NCU"",""2016"",""2016"",""EUR"",""Euro"",""0"",""Units"",,,29126.1654392034,,"
"ITA,""Italy"",""CPNCU"",""Current prices in NCU"",""2017"",""2017"",""EUR"",""Euro"",""0"",""Units"",,,29247.817836135,,"
"ITA,""Italy"",""CPNCU"",""Current prices in NCU"",""2018"",""2018"",""EUR"",""Euro"",""0"",""Units"",,,29563.5747710882,,"
"ITA,""Italy"",""CPNCU"",""Current prices in NCU"",""2019"",""2019"",""EUR"",""Euro"",""0"",""Units"",,,29828.2301475404,,"
"ITA,""Italy"",""CPNCU"",""Current prices in NCU"",""2020"",""2020"",""EUR"",""Euro"",""0"",""Units"",,,27997.0223101223,,"
"LUX,""Luxembourg"",""CPNCU"",""Current prices in NCU"",""2005"",""2005"",""EUR"",""Euro"",""0"",""Units"",,,47174.8107364495,,"
"LUX,""Luxembourg"",""CPNCU"",""Current prices in NCU"",""2006"",""2006"",""EUR"",""Euro"",""0"",""Units"",,,49001.6895166192,,"
"LUX,""Luxembourg"",""CPNCU"",""Current prices in NCU"",""2007"",""2007"",""EUR"",""Euro"",""0"",""Units"",,,51413.3294803299,,"
"LUX,""Luxembourg"",""CPNCU"",""Current prices in NCU"",""2008"",""2008"",""EUR"",""Euro"",""0"",""Units"",,,52781.3011487798,,"
"LUX,""Luxembourg"",""CPNCU"",""Current prices in NCU"",""2009"",""2009"",""EUR"",""Euro"",""0"",""Units"",,,53976.9767409013,,"
"LUX,""Luxembourg"",""CPNCU"",""Current prices in NCU"",""2010"",""2010"",""EUR"",""Euro"",""0"",""Units"",,,55133.350082942,,"
